epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.795,1.57039,2.02489,1.44477,0.65855,0.36904,0.42551,0.21506,1.77063,2.30713,1.62386,0.000550054,0.000550054,0.000550054
2,986.672,1.68347,1.75703,1.52503,0.51673,0.40601,0.39871,0.1819,1.95782,2.16963,1.75478,0.00108383,0.00108383,0.00108383
3,1501.77,1.73853,1.79314,1.58114,0.54252,0.4249,0.4399,0.20901,1.92762,1.94349,1.70369,0.0015956,0.0015956,0.0015956
4,2003.89,1.7374,1.79798,1.60441,0.54873,0.44,0.4412,0.21188,1.88225,1.92993,1.76457,0.00156798,0.00156798,0.00156798
5,2496.59,1.72415,1.72357,1.5869,0.56158,0.42265,0.44597,0.22071,1.89757,1.76892,1.71371,0.00153497,0.00153497,0.00153497
6,2994.28,1.71348,1.68845,1.5831,0.57373,0.44749,0.47486,0.23632,1.85246,1.73424,1.69461,0.00150197,0.00150197,0.00150197
7,3478.71,1.68166,1.64064,1.56892,0.60612,0.44162,0.47836,0.2394,1.85604,1.72069,1.68786,0.00146896,0.00146896,0.00146896
8,3983.73,1.652,1.57656,1.53661,0.58453,0.45668,0.46969,0.2377,1.80708,1.71492,1.68557,0.00143595,0.00143595,0.00143595
9,4477.05,1.66274,1.57851,1.52891,0.64667,0.48028,0.52348,0.27172,1.75989,1.59776,1.6228,0.00140295,0.00140295,0.00140295
10,4966.94,1.63956,1.56983,1.53032,0.63945,0.49712,0.53029,0.27351,1.76711,1.5824,1.62941,0.00136994,0.00136994,0.00136994
11,5451.51,1.62694,1.5305,1.51844,0.6366,0.48903,0.53055,0.27364,1.75079,1.59935,1.61031,0.00133693,0.00133693,0.00133693
12,5934.58,1.59718,1.50025,1.49689,0.64283,0.4834,0.53644,0.27564,1.75795,1.54053,1.58367,0.00130393,0.00130393,0.00130393
13,6417.38,1.61232,1.48384,1.50433,0.62654,0.48549,0.50942,0.26017,1.76567,1.58965,1.61498,0.00127092,0.00127092,0.00127092
14,6908.32,1.56092,1.46176,1.48581,0.63218,0.51927,0.5464,0.29297,1.71476,1.47419,1.57704,0.00123791,0.00123791,0.00123791
15,7415.04,1.57402,1.44429,1.47152,0.62427,0.48272,0.50993,0.25628,1.76743,1.56109,1.60893,0.00120491,0.00120491,0.00120491
16,7915.08,1.56106,1.42202,1.46227,0.6404,0.51538,0.55206,0.29846,1.69475,1.47132,1.5738,0.0011719,0.0011719,0.0011719
17,8409.06,1.53957,1.40784,1.46414,0.63147,0.49449,0.52192,0.27669,1.71226,1.51457,1.56789,0.00113889,0.00113889,0.00113889
18,8903.25,1.54544,1.40541,1.45405,0.66936,0.50978,0.55677,0.29364,1.71464,1.46784,1.56735,0.00110589,0.00110589,0.00110589
19,9402.77,1.53973,1.38113,1.46137,0.65826,0.53224,0.57267,0.30914,1.69152,1.41474,1.5545,0.00107288,0.00107288,0.00107288
20,9896.42,1.54116,1.38717,1.45778,0.66286,0.5205,0.56555,0.30644,1.68574,1.41849,1.55134,0.00103987,0.00103987,0.00103987
21,10385.3,1.50009,1.35331,1.43385,0.69603,0.53306,0.59419,0.31723,1.68305,1.38644,1.53863,0.00100687,0.00100687,0.00100687
22,10862,1.50152,1.33436,1.42882,0.67091,0.53392,0.57793,0.31103,1.68724,1.37698,1.54396,0.000973861,0.000973861,0.000973861
23,11333.6,1.50318,1.32497,1.42195,0.71553,0.53157,0.58754,0.32208,1.65868,1.36211,1.50784,0.000940855,0.000940855,0.000940855
24,11804.9,1.49716,1.32875,1.42143,0.65949,0.53209,0.56191,0.29888,1.67129,1.42379,1.53093,0.000907848,0.000907848,0.000907848
